date,ticker,close,volume
2021-09-06,SPY,422.85,88515472
2021-09-06,QQQ,352.1,32967606
2021-09-06,IWM,182.06,50392321
2021-09-06,EFA,71.0,14876966
2021-09-06,TLT,99.46,30987062
2021-09-06,LQD,104.63,10709480
2021-09-06,GLD,176.78,9709666
2021-09-06,VNQ,85.77,6136267
2021-09-07,SPY,427.69,97350384
2021-09-07,QQQ,359.46,44769105
2021-09-07,IWM,184.66,31562175
2021-09-07,EFA,71.6,11866569
2021-09-07,TLT,99.66,15817385
2021-09-07,LQD,105.04,9070278
2021-09-07,GLD,176.88,9242619
2021-09-07,VNQ,87.88,3739488
2021-09-08,SPY,421.34,71158395
2021-09-08,QQQ,357.69,70576853
2021-09-08,IWM,183.11,25127073
2021-09-08,EFA,71.57,15279614
2021-09-08,TLT,98.31,16525282
2021-09-08,LQD,103.66,16209646
2021-09-08,GLD,177.18,6940459
2021-09-08,VNQ,85.81,7119192
2021-09-09,SPY,421.76,45084720
2021-09-09,QQQ,356.72,40304979
2021-09-09,IWM,181.91,27871866
2021-09-09,EFA,71.59,28240817
2021-09-09,TLT,99.83,5113318
2021-09-09,LQD,104.01,26718940
2021-09-09,GLD,178.39,7348508
2021-09-09,VNQ,86.76,3626805
2021-09-10,SPY,417.17,115767058
2021-09-10,QQQ,352.48,54237840
2021-09-10,IWM,178.84,25211891
2021-09-10,EFA,71.13,22081716
2021-09-10,TLT,99.09,11127173
2021-09-10,LQD,103.01,11570900
2021-09-10,GLD,179.31,8340231
2021-09-10,VNQ,84.96,8506787
2021-09-13,SPY,416.5,103116124
2021-09-13,QQQ,350.11,33207977
2021-09-13,IWM,178.84,20667679
2021-09-13,EFA,70.65,26539692
2021-09-13,TLT,99.54,13591677
2021-09-13,LQD,103.03,14852862
2021-09-13,GLD,180.43,3673036
2021-09-13,VNQ,84.9,4333790
2021-09-14,SPY,412.47,53088220
2021-09-14,QQQ,351.72,66748631
2021-09-14,IWM,178.03,17091931
2021-09-14,EFA,70.66,24424838
2021-09-14,TLT,100.22,13390674
2021-09-14,LQD,104.3,23181320
2021-09-14,GLD,181.82,10945054
2021-09-14,VNQ,86.66,4850971
2021-09-15,SPY,415.26,124265624
2021-09-15,QQQ,355.36,41885958
2021-09-15,IWM,178.92,33854615
2021-09-15,EFA,71.33,21080880
2021-09-15,TLT,98.9,17544856
2021-09-15,LQD,104.42,14107196
2021-09-15,GLD,180.24,6470970
2021-09-15,VNQ,86.89,4749729
2021-09-16,SPY,423.62,68790884
2021-09-16,QQQ,369.44,44122995
2021-09-16,IWM,183.11,42931355
2021-09-16,EFA,73.7,16108615
2021-09-16,TLT,98.73,19886391
2021-09-16,LQD,105.42,16257163
2021-09-16,GLD,180.28,6052666
2021-09-16,VNQ,88.15,3466323
2021-09-17,SPY,419.09,82745580
2021-09-17,QQQ,360.21,36893052
2021-09-17,IWM,181.25,25041334
2021-09-17,EFA,73.22,18817363
2021-09-17,TLT,99.28,22764202
2021-09-17,LQD,105.2,12296023
2021-09-17,GLD,180.94,11332170
2021-09-17,VNQ,86.9,5451009
2021-09-20,SPY,415.04,58343540
2021-09-20,QQQ,356.8,87463465
2021-09-20,IWM,179.25,24710383
2021-09-20,EFA,71.84,43284659
2021-09-20,TLT,99.45,18996765
2021-09-20,LQD,104.37,28745064
2021-09-20,GLD,179.6,22555172
2021-09-20,VNQ,86.34,2489755
2021-09-21,SPY,414.19,59480047
2021-09-21,QQQ,354.66,58591683
2021-09-21,IWM,179.73,41960248
2021-09-21,EFA,71.38,26353501
2021-09-21,TLT,98.98,16523165
2021-09-21,LQD,104.73,9944361
2021-09-21,GLD,176.51,15176894
2021-09-21,VNQ,85.91,4152710
2021-09-22,SPY,414.32,86984553
2021-09-22,QQQ,350.03,46650241
2021-09-22,IWM,178.37,42862939
2021-09-22,EFA,71.62,18151189
2021-09-22,TLT,100.21,15262088
2021-09-22,LQD,105.24,15700403
2021-09-22,GLD,175.13,7487736
2021-09-22,VNQ,87.16,6562602
2021-09-23,SPY,414.7,87139841
2021-09-23,QQQ,350.84,61577605
2021-09-23,IWM,179.17,35737230
2021-09-23,EFA,72.21,32032098
2021-09-23,TLT,100.65,29323813
2021-09-23,LQD,105.18,26580507
2021-09-23,GLD,176.25,6657823
2021-09-23,VNQ,88.31,3581145
2021-09-24,SPY,412.37,87928082
2021-09-24,QQQ,345.07,51403511
2021-09-24,IWM,178.07,25607690
2021-09-24,EFA,71.45,18377297
2021-09-24,TLT,99.5,16075004
2021-09-24,LQD,104.8,10182435
2021-09-24,GLD,175.51,8298156
2021-09-24,VNQ,87.56,4045474
2021-09-27,SPY,411.24,111938039
2021-09-27,QQQ,345.83,30131186
2021-09-27,IWM,176.85,38542927
2021-09-27,EFA,71.88,18390613
2021-09-27,TLT,99.3,18173274
2021-09-27,LQD,105.11,8436390
2021-09-27,GLD,174.52,4683926
2021-09-27,VNQ,86.68,6922328
2021-09-28,SPY,423.01,58056353
2021-09-28,QQQ,357.0,58273125
2021-09-28,IWM,180.87,25272478
2021-09-28,EFA,73.48,24127982
2021-09-28,TLT,100.62,20802817
2021-09-28,LQD,105.78,13375327
2021-09-28,GLD,175.68,11997668
2021-09-28,VNQ,88.18,4468064
2021-09-29,SPY,424.16,62453500
2021-09-29,QQQ,357.55,44109988
2021-09-29,IWM,181.38,35891726
2021-09-29,EFA,74.56,16549794
2021-09-29,TLT,99.37,14093237
2021-09-29,LQD,105.89,9149341
2021-09-29,GLD,172.85,7698457
2021-09-29,VNQ,88.56,5382078
2021-09-30,SPY,419.74,101480615
2021-09-30,QQQ,355.05,24754735
2021-09-30,IWM,181.48,46097929
2021-09-30,EFA,73.96,11397905
2021-09-30,TLT,100.82,19316136
2021-09-30,LQD,105.96,15036471
2021-09-30,GLD,175.34,4705459
2021-09-30,VNQ,88.1,7412679
2021-10-01,SPY,426.15,63264791
2021-10-01,QQQ,364.78,35582901
2021-10-01,IWM,184.93,40410856
2021-10-01,EFA,75.74,17897216
2021-10-01,TLT,101.27,59751714
2021-10-01,LQD,106.93,15396407
2021-10-01,GLD,175.46,3328980
2021-10-01,VNQ,88.75,3867802
2021-10-04,SPY,428.24,93690806
2021-10-04,QQQ,367.3,69380989
2021-10-04,IWM,188.31,29182314
2021-10-04,EFA,75.97,18822495
2021-10-04,TLT,102.8,14242424
2021-10-04,LQD,108.55,12581193
2021-10-04,GLD,175.9,5611666
2021-10-04,VNQ,90.59,1680645
2021-10-05,SPY,430.36,60809802
2021-10-05,QQQ,366.99,46609498
2021-10-05,IWM,187.86,22322596
2021-10-05,EFA,76.69,6711536
2021-10-05,TLT,101.93,34877038
2021-10-05,LQD,108.19,9920097
2021-10-05,GLD,175.07,6965204
2021-10-05,VNQ,92.18,4688697
2021-10-06,SPY,434.64,124600411
2021-10-06,QQQ,365.88,51071211
2021-10-06,IWM,188.52,32594901
2021-10-06,EFA,77.19,11180633
2021-10-06,TLT,102.13,16590660
2021-10-06,LQD,108.25,14482420
2021-10-06,GLD,177.56,7832771
2021-10-06,VNQ,93.06,4782249
2021-10-07,SPY,434.43,84962765
2021-10-07,QQQ,363.65,39922165
2021-10-07,IWM,189.64,37092538
2021-10-07,EFA,79.14,10854617
2021-10-07,TLT,102.88,18090602
2021-10-07,LQD,108.9,13559637
2021-10-07,GLD,178.18,9026654
2021-10-07,VNQ,93.35,5097579
2021-10-08,SPY,439.57,96539504
2021-10-08,QQQ,370.96,44038405
2021-10-08,IWM,194.46,29338402
2021-10-08,EFA,80.14,34245920
2021-10-08,TLT,101.16,27203166
2021-10-08,LQD,108.28,18390427
2021-10-08,GLD,178.74,7321497
2021-10-08,VNQ,92.58,8490935
2021-10-11,SPY,434.56,96961646
2021-10-11,QQQ,369.17,39844282
2021-10-11,IWM,192.4,28486049
2021-10-11,EFA,79.44,12287156
2021-10-11,TLT,99.94,19197088
