ticker,peak_date,peak_close,trough_date,trough_close,drawdown_pct,recovery_date,days_to_trough,days_to_recover,dd_rank
EFA,2021-11-05,69.91,2022-09-27,49.44,-29.27,2024-02-15,223,571.0,1
EFA,2025-03-19,80.68,2025-04-08,69.34,-14.05,2025-05-02,14,31.0,2
EFA,2026-02-25,104.01,2026-03-20,92.13,-11.42,2026-06-15,17,76.0,3
EFA,2024-09-26,79.17,2025-01-13,71.14,-10.14,2025-03-05,73,108.0,4
EFA,2024-07-12,76.49,2024-08-05,70.62,-7.67,2024-08-21,16,28.0,5
GLD,2026-01-29,495.9,2026-07-16,364.96,-26.4,,115,,1
GLD,2022-03-08,191.51,2022-09-26,151.23,-21.03,2023-12-01,139,437.0,2
GLD,2025-10-20,403.15,2025-11-04,362.32,-10.13,2025-12-22,11,44.0,3
GLD,2024-10-30,257.5,2024-11-15,236.59,-8.12,2025-01-30,12,61.0,4
GLD,2025-04-21,315.59,2025-05-14,293.16,-7.11,2025-06-13,17,38.0,5
IWM,2021-11-08,228.02,2022-06-16,155.25,-31.91,2024-11-06,152,753.0,1
IWM,2024-11-25,237.38,2025-04-08,172.1,-27.5,2025-09-11,90,197.0,2
IWM,2026-01-22,267.97,2026-03-30,238.42,-11.03,2026-04-15,46,57.0,3
IWM,2025-10-15,247.81,2025-11-20,226.81,-8.48,2025-12-04,26,35.0,4
IWM,2026-08-14,304.3,2026-09-24,281.66,-7.44,,28,,5
LQD,2021-11-09,110.86,2022-10-20,83.65,-24.54,,238,,1
LQD,2021-09-27,110.41,2021-10-11,107.92,-2.25,2021-11-05,10,29.0,2
LQD,2021-11-05,110.82,2021-11-08,110.56,-0.23,2021-11-09,1,2.0,3
QQQ,2021-12-27,392.1,2022-11-03,254.4,-35.12,2023-12-13,216,494.0,1
QQQ,2025-02-19,534.98,2025-04-08,413.17,-22.77,2025-06-24,34,86.0,2
QQQ,2024-07-10,497.22,2024-08-07,429.81,-13.56,2024-11-06,20,84.0,3
QQQ,2025-10-29,632.8,2026-03-30,557.09,-11.96,2026-04-15,103,114.0,4
QQQ,2026-06-02,744.57,2026-07-29,661.04,-11.22,2026-09-22,39,77.0,5
SPY,2022-01-03,448.37,2022-10-12,338.54,-24.5,2023-12-13,195,489.0,1
SPY,2025-02-19,601.12,2025-04-08,488.38,-18.76,2025-06-26,34,88.0,2
SPY,2026-01-27,690.1,2026-03-30,628.78,-8.88,2026-04-14,43,53.0,3
SPY,2024-07-16,550.43,2024-08-05,504.16,-8.41,2024-09-19,14,46.0,4
SPY,2024-03-27,508.17,2024-04-19,480.96,-5.35,2024-05-14,16,33.0,5
TLT,2021-12-03,129.88,2023-10-19,73.13,-43.7,,471,,1
TLT,2021-11-09,126.87,2021-11-23,121.44,-4.28,2021-11-30,10,14.0,2
TLT,2021-09-27,122.7,2021-10-11,118.79,-3.19,2021-10-27,10,22.0,3
TLT,2021-10-27,124.01,2021-11-03,122.34,-1.34,2021-11-05,5,7.0,4
TLT,2021-11-05,125.48,2021-11-08,125.24,-0.19,2021-11-09,1,2.0,5
VNQ,2021-12-31,97.23,2023-10-25,63.7,-34.48,2026-06-12,456,1115.0,1
VNQ,2026-07-28,100.95,2026-09-24,91.17,-9.69,,40,,2
VNQ,2021-11-24,92.24,2021-12-01,87.16,-5.5,2021-12-07,4,8.0,3
VNQ,2026-06-12,97.65,2026-06-18,94.73,-2.99,2026-06-26,4,9.0,4
VNQ,2026-06-26,98.67,2026-06-30,96.43,-2.27,2026-07-16,2,13.0,5
