date,ticker,ann_volatility_21d
2021-10-26,EFA,0.121551354
2021-10-27,EFA,0.0933381788
2021-10-28,EFA,0.0971632895
2021-10-29,EFA,0.0986929343
2021-11-01,EFA,0.1026697053
2021-11-02,EFA,0.0936781997
2021-11-03,EFA,0.0945760873
2021-11-04,EFA,0.0895108162
2021-11-05,EFA,0.0875831035
2021-11-08,EFA,0.0875804845
2021-11-09,EFA,0.0868501327
2021-11-10,EFA,0.1002305502
2021-11-11,EFA,0.0960646129
2021-11-12,EFA,0.0922507168
2021-11-15,EFA,0.089082693
2021-11-16,EFA,0.0879130503
2021-11-17,EFA,0.0861051318
2021-11-18,EFA,0.0854437024
2021-11-19,EFA,0.0892254922
2021-11-22,EFA,0.0889726915
2021-11-23,EFA,0.0888106106
2021-11-24,EFA,0.0909983335
2021-11-26,EFA,0.1282535436
2021-11-29,EFA,0.123904607
2021-11-30,EFA,0.1254590373
2021-12-01,EFA,0.1182430343
2021-12-02,EFA,0.1296658895
2021-12-03,EFA,0.1241668698
2021-12-06,EFA,0.1312807658
2021-12-07,EFA,0.154033177
2021-12-08,EFA,0.1543975679
2021-12-09,EFA,0.1562835128
2021-12-10,EFA,0.1519074602
2021-12-13,EFA,0.1537020933
2021-12-14,EFA,0.1520820099
2021-12-15,EFA,0.1614165368
2021-12-16,EFA,0.1614520072
2021-12-17,EFA,0.1662476814
2021-12-20,EFA,0.1659595095
2021-12-21,EFA,0.1699482221
2021-12-22,EFA,0.1725267596
2021-12-23,EFA,0.1737820294
2021-12-27,EFA,0.1738983276
2021-12-28,EFA,0.1419571216
2021-12-29,EFA,0.1417756914
2021-12-30,EFA,0.1375138496
2021-12-31,EFA,0.1350330307
2022-01-03,EFA,0.1309493044
2022-01-04,EFA,0.1294920007
2022-01-05,EFA,0.1324915998
2022-01-06,EFA,0.1138445103
2022-01-07,EFA,0.1140703348
2022-01-10,EFA,0.1150572236
2022-01-11,EFA,0.1205636103
2022-01-12,EFA,0.1183496652
2022-01-13,EFA,0.1200037868
2022-01-14,EFA,0.1121223099
2022-01-18,EFA,0.124559909
2022-01-19,EFA,0.1155834051
2022-01-20,EFA,0.1168276298
2022-01-21,EFA,0.120307039
2022-01-24,EFA,0.1190404101
2022-01-25,EFA,0.117001983
2022-01-26,EFA,0.1116093593
2022-01-27,EFA,0.1113231853
2022-01-28,EFA,0.113073408
2022-01-31,EFA,0.1277729824
2022-02-01,EFA,0.1336099443
2022-02-02,EFA,0.1343553597
2022-02-03,EFA,0.140900522
2022-02-04,EFA,0.1396787316
2022-02-07,EFA,0.1396089026
2022-02-08,EFA,0.1406663303
2022-02-09,EFA,0.1498388105
2022-02-10,EFA,0.1503656386
2022-02-11,EFA,0.1521589695
2022-02-14,EFA,0.1518584725
2022-02-15,EFA,0.1679789107
2022-02-16,EFA,0.1616895192
2022-02-17,EFA,0.170473439
2022-02-18,EFA,0.1703141726
2022-02-22,EFA,0.1687164265
2022-02-23,EFA,0.1676680942
2022-02-24,EFA,0.1722838563
2022-02-25,EFA,0.1946795347
2022-02-28,EFA,0.2050457318
2022-03-01,EFA,0.2169593778
2022-03-02,EFA,0.2151281255
2022-03-03,EFA,0.2191737869
2022-03-04,EFA,0.232341056
2022-03-07,EFA,0.2475741388
2022-03-08,EFA,0.2511712661
2022-03-09,EFA,0.2996680894
2022-03-10,EFA,0.2991741629
2022-03-11,EFA,0.2901117161
2022-03-14,EFA,0.2934288522
2022-03-15,EFA,0.2948911673
2022-03-16,EFA,0.3246719422
2022-03-17,EFA,0.3187618682
2022-03-18,EFA,0.320783974
2022-03-21,EFA,0.3170056123
2022-03-22,EFA,0.3189267255
2022-03-23,EFA,0.3195189928
2022-03-24,EFA,0.3200971032
2022-03-25,EFA,0.3162831277
2022-03-28,EFA,0.3039543269
2022-03-29,EFA,0.3058916837
2022-03-30,EFA,0.2948669847
2022-03-31,EFA,0.2992754995
2022-04-01,EFA,0.2909055757
2022-04-04,EFA,0.2678044867
2022-04-05,EFA,0.2437069532
2022-04-06,EFA,0.249866063
2022-04-07,EFA,0.2078873184
2022-04-08,EFA,0.20188116
2022-04-11,EFA,0.2016820006
2022-04-12,EFA,0.2029125125
2022-04-13,EFA,0.2035593622
2022-04-14,EFA,0.1619048129
2022-04-18,EFA,0.1598202341
2022-04-19,EFA,0.1565483872
2022-04-20,EFA,0.157646024
2022-04-21,EFA,0.1571021992
2022-04-22,EFA,0.1605861157
2022-04-25,EFA,0.1558197352
2022-04-26,EFA,0.1787690516
2022-04-27,EFA,0.1810346972
2022-04-28,EFA,0.1685239951
2022-04-29,EFA,0.1707746369
2022-05-02,EFA,0.164628994
2022-05-03,EFA,0.162873301
2022-05-04,EFA,0.1768391302
2022-05-05,EFA,0.2012069846
2022-05-06,EFA,0.2001975408
2022-05-09,EFA,0.2188947462
2022-05-10,EFA,0.2225214915
2022-05-11,EFA,0.2215910821
2022-05-12,EFA,0.221450346
2022-05-13,EFA,0.2428838841
2022-05-16,EFA,0.2433316321
2022-05-17,EFA,0.2546151255
2022-05-18,EFA,0.2640076139
2022-05-19,EFA,0.2656159295
2022-05-20,EFA,0.2664139301
2022-05-23,EFA,0.2695955865
2022-05-24,EFA,0.2692379458
2022-05-25,EFA,0.2504315307
2022-05-26,EFA,0.2527282789
2022-05-27,EFA,0.251443203
2022-05-31,EFA,0.2486463876
2022-06-01,EFA,0.2516589528
2022-06-02,EFA,0.2602793928
2022-06-03,EFA,0.2586148187
2022-06-06,EFA,0.2311369243
2022-06-07,EFA,0.2275180771
2022-06-08,EFA,0.2042575869
2022-06-09,EFA,0.2194543191
2022-06-10,EFA,0.2357182575
2022-06-13,EFA,0.2631198644
2022-06-14,EFA,0.243039406
2022-06-15,EFA,0.2538364652
2022-06-16,EFA,0.2518319152
2022-06-17,EFA,0.2409050622
2022-06-21,EFA,0.245184674
2022-06-22,EFA,0.2432149896
2022-06-23,EFA,0.2322443512
2022-06-24,EFA,0.2601718465
2022-06-27,EFA,0.2600437658
2022-06-28,EFA,0.2554958228
2022-06-29,EFA,0.2491348881
2022-06-30,EFA,0.2490949329
2022-07-01,EFA,0.2489953983
2022-07-05,EFA,0.2395810282
2022-07-06,EFA,0.2384181334
2022-07-07,EFA,0.2466585638
2022-07-08,EFA,0.2460358918
2022-07-11,EFA,0.2472430371
2022-07-12,EFA,0.2402427548
2022-07-13,EFA,0.2284333827
2022-07-14,EFA,0.2045380336
2022-07-15,EFA,0.2109512883
2022-07-18,EFA,0.2000896434
2022-07-19,EFA,0.2076652658
2022-07-20,EFA,0.2086939217
2022-07-21,EFA,0.2052885214
2022-07-22,EFA,0.2038163617
2022-07-25,EFA,0.2048755759
2022-07-26,EFA,0.1837248777
2022-07-27,EFA,0.2011760644
2022-07-28,EFA,0.199738712
2022-07-29,EFA,0.2033216921
2022-08-01,EFA,0.2014622992
2022-08-02,EFA,0.2114158016
2022-08-03,EFA,0.1943469087
2022-08-04,EFA,0.1943114119
2022-08-05,EFA,0.1922524883
2022-08-08,EFA,0.1922194617
2022-08-09,EFA,0.1825976968
2022-08-10,EFA,0.1946554117
2022-08-11,EFA,0.1946048817
