ticker,peak_date,peak_close,trough_date,trough_close,drawdown_pct,recovery_date,days_to_trough,days_to_recover,dd_rank
EFA,2024-03-25,97.72,2024-05-24,78.97,-19.19,2024-09-10,44,121.0,1
EFA,2022-03-15,81.79,2023-08-22,66.64,-18.52,2023-10-06,375,408.0,2
EFA,2023-10-06,85.82,2024-01-17,74.99,-12.62,2024-02-15,73,94.0,3
EFA,2025-12-26,143.67,2026-02-03,128.46,-10.59,2026-03-24,27,62.0,4
EFA,2025-01-27,106.52,2025-03-17,97.34,-8.62,2025-04-08,35,51.0,5
GLD,2025-07-16,283.76,2026-06-17,219.93,-22.49,,240,,1
GLD,2024-01-30,248.96,2024-06-07,209.72,-15.76,2024-12-17,93,230.0,2
GLD,2025-01-01,265.39,2025-04-10,227.01,-14.46,2025-06-11,71,115.0,3
GLD,2022-08-04,200.0,2022-11-21,175.94,-12.03,2023-02-02,77,130.0,4
GLD,2023-03-13,208.21,2023-05-22,185.93,-10.7,2023-09-19,50,136.0,5
IWM,2021-11-08,204.38,2023-06-29,119.57,-41.5,2025-07-22,428,966.0,1
IWM,2025-10-20,231.02,2025-11-27,206.65,-10.55,2026-03-10,28,101.0,2
IWM,2026-06-05,286.09,2026-06-12,261.34,-8.65,,5,,3
IWM,2025-08-11,220.11,2025-08-18,206.43,-6.22,2025-09-01,5,15.0,4
IWM,2025-09-18,227.98,2025-10-10,214.63,-5.86,2025-10-17,16,21.0,5
LQD,2024-01-04,134.76,2024-07-31,115.16,-14.54,2025-10-16,149,465.0,1
LQD,2025-10-16,135.27,2026-03-02,119.61,-11.58,2026-06-02,97,163.0,2
LQD,2022-02-14,119.46,2022-06-20,111.04,-7.05,2022-12-23,90,224.0,3
LQD,2023-05-11,122.65,2023-07-04,115.11,-6.15,2023-10-17,38,113.0,4
LQD,2022-12-26,119.81,2023-02-20,112.92,-5.75,2023-04-21,40,84.0,5
QQQ,2021-11-08,385.17,2023-03-17,250.52,-34.96,2024-02-15,354,593.0,1
QQQ,2024-03-25,401.75,2024-06-07,312.14,-22.3,2024-10-30,54,157.0,2
QQQ,2024-02-15,394.94,2024-03-18,336.44,-14.81,2024-03-25,22,27.0,3
QQQ,2024-12-09,417.21,2024-12-19,374.68,-10.19,2025-01-16,8,28.0,4
QQQ,2025-07-29,632.59,2025-08-22,569.29,-10.01,2025-10-15,18,56.0,5
SPY,2021-11-08,450.12,2023-07-07,279.64,-37.87,2025-01-14,434,831.0,1
SPY,2025-12-29,674.08,2026-02-13,606.46,-10.03,2026-03-27,34,64.0,2
SPY,2025-01-30,466.31,2025-03-17,425.55,-8.74,2025-04-08,32,48.0,3
SPY,2025-10-28,659.95,2025-11-27,616.82,-6.54,2025-12-15,22,34.0,4
SPY,2025-07-29,613.91,2025-08-22,577.47,-5.94,2025-10-01,18,46.0,5
TLT,2024-01-17,125.46,2026-05-14,74.1,-40.94,,606,,1
TLT,2023-01-31,120.77,2023-09-07,99.02,-18.01,2023-11-24,157,213.0,2
TLT,2022-03-29,106.84,2022-06-21,96.86,-9.34,2022-09-08,60,117.0,3
TLT,2022-09-09,108.02,2022-10-11,98.77,-8.56,2022-11-30,22,58.0,4
TLT,2023-11-24,121.06,2023-12-26,111.94,-7.53,2024-01-04,22,29.0,5
VNQ,2022-08-10,104.56,2023-08-22,54.11,-48.25,2024-11-25,269,598.0,1
VNQ,2025-01-28,123.09,2025-03-10,103.22,-16.14,2025-07-02,29,111.0,2
VNQ,2021-11-04,93.41,2022-03-28,80.68,-13.63,2022-05-09,102,132.0,3
VNQ,2025-07-29,136.03,2026-02-13,117.5,-13.62,2026-04-14,143,185.0,4
VNQ,2026-05-01,146.63,2026-05-15,132.65,-9.53,2026-06-04,10,24.0,5
