date,ticker,ann_volatility_21d
2021-10-05,EFA,0.2000426385
2021-10-06,EFA,0.1995825623
2021-10-07,EFA,0.2123846375
2021-10-08,EFA,0.2133206665
2021-10-11,EFA,0.2150861525
2021-10-12,EFA,0.2134270977
2021-10-13,EFA,0.2144077685
2021-10-14,EFA,0.2151101025
2021-10-15,EFA,0.2087442747
2021-10-18,EFA,0.2109789279
2021-10-19,EFA,0.1963669592
2021-10-20,EFA,0.2013511117
2021-10-21,EFA,0.2013658615
2021-10-22,EFA,0.2079084609
2021-10-25,EFA,0.2031522156
2021-10-26,EFA,0.2045691283
2021-10-27,EFA,0.1955589695
2021-10-28,EFA,0.1925304284
2021-10-29,EFA,0.2108541657
2021-11-01,EFA,0.1980263385
2021-11-02,EFA,0.1980010209
2021-11-03,EFA,0.1964272472
2021-11-04,EFA,0.1959636642
2021-11-05,EFA,0.1770230182
2021-11-08,EFA,0.1713737921
2021-11-09,EFA,0.1789981382
2021-11-10,EFA,0.1860133374
2021-11-11,EFA,0.1817042254
2021-11-12,EFA,0.1761554516
2021-11-15,EFA,0.1670944657
2021-11-16,EFA,0.1648747152
2021-11-17,EFA,0.166044585
2021-11-18,EFA,0.1672419814
2021-11-19,EFA,0.1702605507
2021-11-22,EFA,0.1661437235
2021-11-23,EFA,0.170032259
2021-11-24,EFA,0.1720293458
2021-11-25,EFA,0.1731577334
2021-11-26,EFA,0.1718169485
2021-11-29,EFA,0.1487843676
2021-11-30,EFA,0.1784973286
2021-12-01,EFA,0.178170204
2021-12-02,EFA,0.1810818613
2021-12-03,EFA,0.178995528
2021-12-06,EFA,0.1963761074
2021-12-07,EFA,0.1968985362
2021-12-08,EFA,0.1976681308
2021-12-09,EFA,0.1927641259
2021-12-10,EFA,0.1984879305
2021-12-13,EFA,0.1997537736
2021-12-14,EFA,0.2106879317
2021-12-15,EFA,0.2107219905
2021-12-16,EFA,0.2097585961
2021-12-17,EFA,0.2100356028
2021-12-20,EFA,0.2072828626
2021-12-21,EFA,0.2094303753
2021-12-22,EFA,0.2082788082
2021-12-23,EFA,0.2058259033
2021-12-24,EFA,0.2013805972
2021-12-27,EFA,0.2057087105
2021-12-28,EFA,0.2027512954
2021-12-29,EFA,0.1890578372
2021-12-30,EFA,0.1912370514
2021-12-31,EFA,0.1909105451
2022-01-03,EFA,0.1909198867
2022-01-04,EFA,0.1817700032
2022-01-05,EFA,0.1808057416
2022-01-06,EFA,0.1749250295
2022-01-07,EFA,0.1750741646
2022-01-10,EFA,0.1699461432
2022-01-11,EFA,0.1675851785
2022-01-12,EFA,0.1512690552
2022-01-13,EFA,0.1499102677
2022-01-14,EFA,0.1566876307
2022-01-17,EFA,0.159366145
2022-01-18,EFA,0.1605689529
2022-01-19,EFA,0.1653577367
2022-01-20,EFA,0.1628106895
2022-01-21,EFA,0.1630808479
2022-01-24,EFA,0.1620809972
2022-01-25,EFA,0.1564967203
2022-01-26,EFA,0.1515997394
2022-01-27,EFA,0.1294472291
2022-01-28,EFA,0.1260000158
2022-01-31,EFA,0.1155085776
2022-02-01,EFA,0.1149020746
2022-02-02,EFA,0.1133883349
2022-02-03,EFA,0.1106984502
2022-02-04,EFA,0.1107946207
2022-02-07,EFA,0.1346960647
2022-02-08,EFA,0.1288681856
2022-02-09,EFA,0.1349885519
2022-02-10,EFA,0.1508062333
2022-02-11,EFA,0.1504873049
2022-02-14,EFA,0.1447224957
2022-02-15,EFA,0.1495947174
2022-02-16,EFA,0.1567100212
2022-02-17,EFA,0.1477533621
2022-02-18,EFA,0.1593149238
2022-02-21,EFA,0.1593601569
2022-02-22,EFA,0.159216351
2022-02-23,EFA,0.1612432102
2022-02-24,EFA,0.1712851371
2022-02-25,EFA,0.1714289456
2022-02-28,EFA,0.1737153826
2022-03-01,EFA,0.1864403109
2022-03-02,EFA,0.1932887641
2022-03-03,EFA,0.1899470391
2022-03-04,EFA,0.2021136269
2022-03-07,EFA,0.2015342979
2022-03-08,EFA,0.1856927434
2022-03-09,EFA,0.188448349
2022-03-10,EFA,0.1841418818
2022-03-11,EFA,0.2056789575
2022-03-14,EFA,0.2081747993
2022-03-15,EFA,0.2079931625
2022-03-16,EFA,0.1987212251
2022-03-17,EFA,0.2036798037
2022-03-18,EFA,0.2061261282
2022-03-21,EFA,0.2040902965
2022-03-22,EFA,0.2065989605
2022-03-23,EFA,0.2095580912
2022-03-24,EFA,0.2084310955
2022-03-25,EFA,0.2187957166
2022-03-28,EFA,0.2249511807
2022-03-29,EFA,0.2220897899
2022-03-30,EFA,0.2132688571
2022-03-31,EFA,0.2098439981
2022-04-01,EFA,0.2111489042
2022-04-04,EFA,0.2340647872
2022-04-05,EFA,0.234314284
2022-04-06,EFA,0.2388230145
2022-04-07,EFA,0.2394723987
2022-04-08,EFA,0.2478391716
2022-04-11,EFA,0.2328887558
2022-04-12,EFA,0.2306915481
2022-04-13,EFA,0.2292676697
2022-04-14,EFA,0.2282406934
2022-04-15,EFA,0.22343463
2022-04-18,EFA,0.2221948192
2022-04-19,EFA,0.2103272903
2022-04-20,EFA,0.2303995632
2022-04-21,EFA,0.2293547381
2022-04-22,EFA,0.227693937
2022-04-25,EFA,0.2127339079
2022-04-26,EFA,0.2041419714
2022-04-27,EFA,0.2073854395
2022-04-28,EFA,0.2130333183
2022-04-29,EFA,0.211672258
2022-05-02,EFA,0.2113898475
2022-05-03,EFA,0.1782922794
2022-05-04,EFA,0.1824303345
2022-05-05,EFA,0.1769910967
2022-05-06,EFA,0.1733573822
2022-05-09,EFA,0.1585666051
2022-05-10,EFA,0.1444289332
2022-05-11,EFA,0.1366448654
2022-05-12,EFA,0.1611318419
2022-05-13,EFA,0.1619373686
2022-05-16,EFA,0.1623951558
2022-05-17,EFA,0.1642957227
2022-05-18,EFA,0.1784965024
2022-05-19,EFA,0.154046816
2022-05-20,EFA,0.1572621949
2022-05-23,EFA,0.1591011001
2022-05-24,EFA,0.1643048807
2022-05-25,EFA,0.1724442625
2022-05-26,EFA,0.1656551042
